ECO,OpeningCategory,OpeningType,Games,BlackWins,BlackWinRate,AvgWhiteElo,AvgBlackElo,EloDiff
C17a,C,King's Pawn Opening,5,3.0,0.6,1965.4,1994.8,-29.4
E19d,E,Queen's Pawn Opening,16,9.0,0.56,2164.94,2341.88,-176.94
C68c,C,King's Pawn Opening,4,2.0,0.5,1995.0,2000.75,-5.75
D99g,D,Queen's Pawn Opening,5,4.0,0.8,2224.6,2249.0,-24.4
A58m,A,Queen's Pawn Opening,10,4.0,0.4,2109.2,1946.6,162.6
D58h,D,Queen's Pawn Opening,11,5.0,0.45,2065.73,1898.55,167.18
E74n,E,Queen's Pawn Opening,3,2,0.67,2359.33,2337.0,22.33
E16a,E,Queen's Pawn Opening,5,1.5,0.3,1555.8,1863.4,-307.6
D59l,D,Queen's Pawn Opening,4,2.5,0.62,2265.5,2320.0,-54.5
D21e,D,Queen's Pawn Opening,5,2,0.4,2403.8,2312.6,91.2
A57p,A,Queen's Pawn Opening,12,5.5,0.46,2160.75,2231.25,-70.5
B37o,B,King's Pawn Opening,4,1.0,0.25,2171.0,1995.5,175.5
B02n,B,King's Pawn Opening,15,8.5,0.57,2036.87,2183.4,-146.53
C30a,C,King's Pawn Opening,5,3,0.6,2103.8,1973.2,130.6
D30b,D,Queen's Pawn Opening,9,3.5,0.39,2178.33,2068.33,110.0
C82r,C,King's Pawn Opening,2,1,0.5,2093.0,2114.5,-21.5
C84b,C,King's Pawn Opening,2,1.5,0.75,2641.0,2616.5,24.5
E69c,E,Queen's Pawn Opening,9,4.5,0.5,2143.11,2221.56,-78.45
B38k,B,King's Pawn Opening,2,0.5,0.25,1775.5,2120.0,-344.5
E18k,E,Queen's Pawn Opening,5,2.0,0.4,2287.4,2335.4,-48.0
A33g,A,Other,8,5.5,0.69,2085.75,2278.75,-193.0
B21k,B,King's Pawn Opening,4,1.5,0.38,2127.75,2195.0,-67.25
C35,C,King's Pawn Opening,13,7.5,0.58,2037.38,2120.62,-83.24
B44n,B,King's Pawn Opening,14,8.5,0.61,1917.14,1927.14,-10.0
C65k,C,King's Pawn Opening,5,1.5,0.3,1978.2,1821.4,156.8
B37h,B,King's Pawn Opening,16,7.5,0.47,2183.88,2235.12,-51.24
C19a,C,King's Pawn Opening,9,4.5,0.5,1912.56,2132.67,-220.11
C26d,C,King's Pawn Opening,14,5.5,0.39,2140.14,1982.29,157.85
B17t,B,King's Pawn Opening,3,0,0.0,2159.67,2293.0,-133.33
A58d,A,Queen's Pawn Opening,2,1.5,0.75,2071.0,2266.0,-195.0
C87k,C,King's Pawn Opening,5,0.5,0.1,2315.8,2366.8,-51.0
A67o,A,Queen's Pawn Opening,4,2,0.5,2343.25,2033.25,310.0
A58p,A,Queen's Pawn Opening,9,5.5,0.61,2035.11,1878.78,156.33
B78m,B,King's Pawn Opening,4,2.0,0.5,2272.5,2260.5,12.0
A67i,A,Queen's Pawn Opening,6,3.5,0.58,2106.67,2292.0,-185.33
D54b,D,Queen's Pawn Opening,4,1,0.25,2375.25,2310.0,65.25
C90f,C,King's Pawn Opening,8,3.0,0.38,2370.12,2331.5,38.62
E75b,E,Queen's Pawn Opening,8,3.5,0.44,2127.0,2136.38,-9.38
B46b,B,King's Pawn Opening,12,4,0.33,2099.17,2146.92,-47.75
B46m,B,King's Pawn Opening,4,1,0.25,2266.5,2325.5,-59.0
E91c,E,Queen's Pawn Opening,7,2.5,0.36,2244.57,2413.29,-168.72
C78t,C,King's Pawn Opening,13,5.5,0.42,2294.85,2332.23,-37.38
E15a,E,Queen's Pawn Opening,8,3.5,0.44,2289.75,2412.0,-122.25
A44v,A,Queen's Pawn Opening,14,5,0.36,2295.71,2360.57,-64.86
E39f,E,Queen's Pawn Opening,9,3.5,0.39,2275.22,2261.56,13.66
E97e,E,Queen's Pawn Opening,5,2,0.4,2248.4,2120.2,128.2
C19n,C,King's Pawn Opening,2,1,0.5,2271.5,2393.5,-122.0
A44b,A,Queen's Pawn Opening,16,11.0,0.69,1839.0,2152.31,-313.31
B05n,B,King's Pawn Opening,5,2.0,0.4,2533.0,2296.8,236.2
A57w,A,Queen's Pawn Opening,3,1,0.33,2336.33,2168.33,168.0
C19b,C,King's Pawn Opening,3,1.5,0.5,1974.0,2106.0,-132.0
E74h,E,Queen's Pawn Opening,3,1.0,0.33,2303.0,2133.67,169.33
A67s,A,Queen's Pawn Opening,14,3.5,0.25,2298.36,2200.36,98.0
E87k,E,Queen's Pawn Opening,4,1,0.25,2335.0,1673.25,661.75
D45m,D,Queen's Pawn Opening,6,3,0.5,2115.17,2118.33,-3.16
D16l,D,Queen's Pawn Opening,4,0,0.0,2331.5,2313.25,18.25
C43p,C,King's Pawn Opening,3,0.5,0.17,2321.0,2388.33,-67.33
C10m,C,King's Pawn Opening,13,3.5,0.27,2359.77,2323.38,36.39
A65k,A,Queen's Pawn Opening,3,2,0.67,2172.0,2315.67,-143.67
E73o,E,Queen's Pawn Opening,20,10.0,0.5,2242.9,2236.05,6.85
E86i,E,Queen's Pawn Opening,1,1,1.0,2325.0,2333.0,-8.0
B78l,B,King's Pawn Opening,13,2.5,0.19,2208.62,2124.69,83.93
D97m,D,Queen's Pawn Opening,8,1.5,0.19,2325.88,2246.38,79.5
C58a,C,King's Pawn Opening,1,1,1.0,2289.0,1843.0,446.0
E95f,E,Queen's Pawn Opening,5,1,0.2,2389.6,2407.4,-17.8
D17s,D,Queen's Pawn Opening,5,3.5,0.7,2154.4,2319.0,-164.6
B37i,B,King's Pawn Opening,5,1,0.2,2046.0,2121.6,-75.6
E10p,E,Queen's Pawn Opening,7,2.5,0.36,2234.43,2088.43,146.0
B57m,B,King's Pawn Opening,10,3.5,0.35,2214.9,2224.9,-10.0
E74b,E,Queen's Pawn Opening,4,2.0,0.5,2297.5,2223.25,74.25
D34x,D,Queen's Pawn Opening,3,0.5,0.17,2448.0,2320.67,127.33
D33f,D,Queen's Pawn Opening,4,2,0.5,1863.5,2043.5,-180.0
B81q,B,King's Pawn Opening,3,1,0.33,2277.0,2146.67,130.33
C68e,C,King's Pawn Opening,34,21.5,0.63,2100.97,2153.06,-52.09
B45q,B,King's Pawn Opening,13,4.0,0.31,1974.08,1900.23,73.85
A30l,A,Other,7,3.5,0.5,2035.43,1810.43,225.0
C80j,C,King's Pawn Opening,3,0.5,0.17,1858.0,1024.33,833.67
C86g,C,King's Pawn Opening,11,6.0,0.55,2064.73,2013.0,51.73
A44p,A,Queen's Pawn Opening,4,2.5,0.62,2131.5,2252.75,-121.25
A57u,A,Queen's Pawn Opening,8,7.5,0.94,2224.38,2344.38,-120.0
B14t,B,King's Pawn Opening,8,6.0,0.75,2220.5,2239.88,-19.38
B15c,B,King's Pawn Opening,17,11.5,0.68,2037.29,2240.12,-202.83
D16b,D,Queen's Pawn Opening,6,3.0,0.5,1810.67,1968.67,-158.0
E38a,E,Queen's Pawn Opening,5,3.5,0.7,1936.0,2251.2,-315.2
C06l,C,King's Pawn Opening,20,9.5,0.47,2195.4,2063.4,132.0
C86j,C,King's Pawn Opening,5,2,0.4,2101.2,1977.2,124.0
D97g,D,Queen's Pawn Opening,2,1.5,0.75,1904.0,1979.0,-75.0
E60b,E,Queen's Pawn Opening,2,1.5,0.75,2059.5,1979.0,80.5
C02c,C,King's Pawn Opening,4,1.5,0.38,906.25,882.5,23.75
A65q,A,Queen's Pawn Opening,10,5,0.5,1960.6,1718.3,242.3
C59k,C,King's Pawn Opening,7,4.5,0.64,2178.0,2107.57,70.43
A68m,A,Queen's Pawn Opening,2,1.5,0.75,2055.5,2241.5,-186.0
A66,A,Queen's Pawn Opening,11,5,0.45,2254.55,2218.73,35.82
B93n,B,King's Pawn Opening,6,2.5,0.42,2234.67,2297.5,-62.83
A36o,A,Other,17,6.0,0.35,2157.94,2211.65,-53.71
C18k,C,King's Pawn Opening,3,2,0.67,1933.33,1761.67,171.66
B39k,B,King's Pawn Opening,7,2.5,0.36,2201.29,2077.14,124.15
E97a,E,Queen's Pawn Opening,3,3,1.0,1722.0,2008.33,-286.33
C64b,C,King's Pawn Opening,7,1.5,0.21,1550.14,1294.29,255.85
D44g,D,Queen's Pawn Opening,10,5.0,0.5,2271.3,2330.8,-59.5
B70u,B,King's Pawn Opening,17,6.5,0.38,2148.18,2219.29,-71.11
D32x,D,Queen's Pawn Opening,11,5.5,0.5,2252.91,2315.36,-62.45
C50u,C,King's Pawn Opening,6,0,0.0,2118.33,1814.0,304.33
D25e,D,Queen's Pawn Opening,8,4.0,0.5,2355.62,2260.0,95.62
A55t,A,Queen's Pawn Opening,4,2.5,0.62,2197.75,2168.5,29.25
D21t,D,Queen's Pawn Opening,9,5.5,0.61,2192.44,2221.22,-28.78
B08f,B,King's Pawn Opening,14,6.5,0.46,2259.93,2266.64,-6.71
A59c,A,Queen's Pawn Opening,5,2.0,0.4,2195.0,2103.0,92.0
C84g,C,King's Pawn Opening,4,3.5,0.88,2365.5,2376.75,-11.25
D19n,D,Queen's Pawn Opening,6,1.5,0.25,2134.17,2033.83,100.34
A51d,A,Queen's Pawn Opening,7,6,0.86,2089.71,2282.71,-193.0
C11f,C,King's Pawn Opening,13,5.5,0.42,2081.15,2069.77,11.38
A38g,A,Other,7,3.0,0.43,2093.57,2121.57,-28.0
E92x,E,Queen's Pawn Opening,4,1,0.25,2436.75,2198.0,238.75
E69v,E,Queen's Pawn Opening,3,1,0.33,2026.0,1968.33,57.67
B78i,B,King's Pawn Opening,3,1,0.33,2222.33,2138.33,84.0
C26m,C,King's Pawn Opening,19,9.5,0.5,2288.42,2246.05,42.37
B50j,B,King's Pawn Opening,11,6.0,0.55,2100.55,2027.73,72.82
C90h,C,King's Pawn Opening,15,5,0.33,2045.73,2064.33,-18.6
C27j,C,King's Pawn Opening,3,2,0.67,2251.67,1793.0,458.67
E14c,E,Queen's Pawn Opening,10,4.0,0.4,2044.2,2092.7,-48.5
E00f,E,Queen's Pawn Opening,7,6,0.86,1678.86,1963.71,-284.85
B49j,B,King's Pawn Opening,5,1,0.2,2283.2,2367.4,-84.2
C95a,C,King's Pawn Opening,4,1.5,0.38,2081.75,2161.25,-79.5
B16k,B,King's Pawn Opening,6,1.5,0.25,2137.83,1700.17,437.66
B38i,B,King's Pawn Opening,5,2.0,0.4,2383.2,2212.2,171.0
C42a,C,King's Pawn Opening,13,5.0,0.38,2260.38,2010.15,250.23
C40w,C,King's Pawn Opening,2,0.5,0.25,2183.0,2224.0,-41.0
C82e,C,King's Pawn Opening,1,1,1.0,2264.0,2262.0,2.0
E86e,E,Queen's Pawn Opening,1,1,1.0,2273.0,2306.0,-33.0
E31j,E,Queen's Pawn Opening,1,1,1.0,2207.0,2273.0,-66.0
B21a,B,King's Pawn Opening,1,1,1.0,1970.0,2213.0,-243.0
E00l,E,Queen's Pawn Opening,8,4.0,0.5,2332.5,2317.88,14.62
C46b,C,King's Pawn Opening,2,1.0,0.5,2448.0,2632.0,-184.0
D05j,D,Queen's Pawn Opening,12,4.5,0.38,2191.0,2157.5,33.5
D79l,D,Queen's Pawn Opening,4,1.5,0.38,2277.25,2386.25,-109.0
A33p,A,Other,9,3.5,0.39,2463.44,2329.22,134.22
C03b,C,King's Pawn Opening,14,4.5,0.32,2261.79,2086.57,175.22
E87a,E,Queen's Pawn Opening,7,0.5,0.07,2067.14,1456.29,610.85
B08k,B,King's Pawn Opening,11,4.5,0.41,1864.27,2156.27,-292.0
B79b,B,King's Pawn Opening,1,1,1.0,2036.0,2278.0,-242.0
C27i,C,King's Pawn Opening,6,3,0.5,2049.0,2179.33,-130.33
A65p,A,Queen's Pawn Opening,9,4.5,0.5,2054.33,2186.33,-132.0
A42n,A,Queen's Pawn Opening,13,4.0,0.31,2130.15,2296.62,-166.47
A65c,A,Queen's Pawn Opening,4,2.5,0.62,2132.25,2173.25,-41.0
C98g,C,King's Pawn Opening,2,2,1.0,1812.5,2125.0,-312.5
B44s,B,King's Pawn Opening,5,3.5,0.7,2296.8,2437.0,-140.2
D84,D,Queen's Pawn Opening,10,5.5,0.55,2198.5,2130.0,68.5
C68h,C,King's Pawn Opening,6,5.0,0.83,2208.67,2296.5,-87.83
D58s,D,Queen's Pawn Opening,11,1.5,0.14,2226.91,1898.36,328.55
D20r,D,Queen's Pawn Opening,15,6,0.4,2216.07,2303.73,-87.66
B34o,B,King's Pawn Opening,6,2.0,0.33,1654.33,1717.33,-63.0
B26m,B,King's Pawn Opening,3,2,0.67,2061.0,2185.33,-124.33
D47r,D,Queen's Pawn Opening,5,1,0.2,2079.8,2074.2,5.6
B66k,B,King's Pawn Opening,1,0.5,0.5,2141.0,2434.0,-293.0
E82k,E,Queen's Pawn Opening,1,0,0.0,2477.0,2237.0,240.0
D20d,D,Queen's Pawn Opening,8,4.5,0.56,2117.75,2205.0,-87.25
E76p,E,Queen's Pawn Opening,7,6,0.86,1827.43,2121.57,-294.14
E19m,E,Queen's Pawn Opening,4,2.0,0.5,2245.75,2228.25,17.5
B47d,B,King's Pawn Opening,13,5.5,0.42,2267.0,2349.54,-82.54
D58n,D,Queen's Pawn Opening,5,1.5,0.3,2477.0,2411.0,66.0
C61f,C,King's Pawn Opening,11,4.0,0.36,2254.64,1951.64,303.0
D87l,D,Queen's Pawn Opening,4,1,0.25,2398.5,2194.25,204.25
E14m,E,Queen's Pawn Opening,12,6.5,0.54,2046.92,2306.58,-259.66
D39h,D,Queen's Pawn Opening,7,5.5,0.79,2276.57,2339.86,-63.29
B25l,B,King's Pawn Opening,2,0.5,0.25,2098.5,2122.0,-23.5
B17p,B,King's Pawn Opening,2,1.0,0.5,1981.0,1954.0,27.0
B99q,B,King's Pawn Opening,6,1.5,0.25,1913.5,2069.17,-155.67
C88a,C,King's Pawn Opening,1,0.5,0.5,2094.0,1934.0,160.0
D49j,D,Queen's Pawn Opening,2,0,0.0,2300.0,2210.0,90.0
E88c,E,Queen's Pawn Opening,8,3.0,0.38,1926.25,2000.75,-74.5
D58d,D,Queen's Pawn Opening,12,6.5,0.54,2217.33,2199.17,18.16
E81s,E,Queen's Pawn Opening,8,5.0,0.62,2041.25,1887.12,154.13
E87d,E,Queen's Pawn Opening,9,3.5,0.39,1830.56,1752.0,78.56
D26o,D,Queen's Pawn Opening,3,0.5,0.17,2252.67,2187.67,65.0
B48l,B,King's Pawn Opening,4,2.5,0.62,2224.5,2276.25,-51.75
D10y,D,Queen's Pawn Opening,5,1.5,0.3,2402.8,2335.4,67.4
B14n,B,King's Pawn Opening,4,2,0.5,2062.75,2150.75,-88.0
B57d,B,King's Pawn Opening,5,3.5,0.7,2008.8,2143.8,-135.0
B70l,B,King's Pawn Opening,3,2,0.67,2000.33,2223.67,-223.34
D15v,D,Queen's Pawn Opening,12,7.0,0.58,2098.92,2245.08,-146.16
C56b,C,King's Pawn Opening,3,2,0.67,1652.33,1410.0,242.33
B78b,B,King's Pawn Opening,4,1,0.25,2324.75,2082.0,242.75
C25o,C,King's Pawn Opening,2,0,0.0,2473.5,2038.5,435.0
E31h,E,Queen's Pawn Opening,2,2,1.0,2200.5,2275.5,-75.0
E88h,E,Queen's Pawn Opening,3,2.5,0.83,1935.33,1815.33,120.0
D16o,D,Queen's Pawn Opening,1,0,0.0,2289.0,2325.0,-36.0
B99o,B,King's Pawn Opening,9,3,0.33,2106.67,1944.56,162.11
D01c,D,Queen's Pawn Opening,16,6,0.38,2179.69,2086.31,93.38
C18n,C,King's Pawn Opening,6,3.5,0.58,1888.0,2108.5,-220.5
B59j,B,King's Pawn Opening,11,6,0.55,2118.36,2262.36,-144.0
C25j,C,King's Pawn Opening,19,10,0.53,2215.79,2184.26,31.53
E14y,E,Queen's Pawn Opening,14,6.0,0.43,2376.57,2388.43,-11.86
B29c,B,King's Pawn Opening,6,2.5,0.42,2254.83,2152.17,102.66
B77i,B,King's Pawn Opening,13,4,0.31,2084.69,2072.38,12.31
E91n,E,Queen's Pawn Opening,5,1,0.2,2183.8,2187.4,-3.6
C42h,C,King's Pawn Opening,12,3.5,0.29,2224.17,2125.33,98.84
E74c,E,Queen's Pawn Opening,3,1.5,0.5,2102.67,2177.0,-74.33
C77m,C,King's Pawn Opening,5,2.5,0.5,2085.0,2213.4,-128.4
C30o,C,King's Pawn Opening,4,1.0,0.25,2246.25,2179.75,66.5
D45x,D,Queen's Pawn Opening,8,3.5,0.44,2223.25,2135.88,87.37
E39c,E,Queen's Pawn Opening,5,1.0,0.2,2029.0,2260.8,-231.8
C16m,C,King's Pawn Opening,5,3.5,0.7,2116.0,2166.8,-50.8
C09e,C,King's Pawn Opening,1,0.5,0.5,2151.0,2324.0,-173.0
C68k,C,King's Pawn Opening,17,7.5,0.44,2242.06,2162.18,79.88
C19o,C,King's Pawn Opening,3,1.0,0.33,2126.33,2270.67,-144.34
B77a,B,King's Pawn Opening,14,10.0,0.71,1708.43,1941.43,-233.0
C17l,C,King's Pawn Opening,4,1.5,0.38,1613.75,1582.5,31.25
C64f,C,King's Pawn Opening,6,2.5,0.42,2080.67,2052.67,28.0
D29g,D,Queen's Pawn Opening,5,2.0,0.4,2300.6,2293.4,7.2
B93c,B,King's Pawn Opening,7,4.5,0.64,2236.86,2254.14,-17.28
D36d,D,Queen's Pawn Opening,12,7.0,0.58,2256.25,2303.5,-47.25
E62u,E,Queen's Pawn Opening,8,2.5,0.31,2099.75,1987.75,112.0
C64q,C,King's Pawn Opening,2,0.5,0.25,2245.5,2307.0,-61.5
C57g,C,King's Pawn Opening,3,2,0.67,702.67,1104.0,-401.33
B58s,B,King's Pawn Opening,1,0,0.0,2542.0,2156.0,386.0
E80m,E,Queen's Pawn Opening,5,1.5,0.3,2132.6,2007.0,125.6
B16h,B,King's Pawn Opening,8,4.5,0.56,1946.62,2201.25,-254.63
D48m,D,Queen's Pawn Opening,2,1,0.5,2323.0,2274.0,49.0
A37s,A,Other,12,6.5,0.54,2315.75,2326.0,-10.25
C09m,C,King's Pawn Opening,14,10.0,0.71,2241.21,2311.43,-70.22
B60a,B,King's Pawn Opening,7,2,0.29,2210.71,1952.71,258.0
B58d,B,King's Pawn Opening,2,1.0,0.5,1831.0,1867.5,-36.5
C49o,C,King's Pawn Opening,1,1,1.0,2018.0,2363.0,-345.0
D10m,D,Queen's Pawn Opening,2,0.5,0.25,2327.5,2287.0,40.5
B66h,B,King's Pawn Opening,9,5.5,0.61,2274.11,2357.44,-83.33
D40p,D,Queen's Pawn Opening,4,1.5,0.38,2412.25,2372.75,39.5
C85e,C,King's Pawn Opening,3,0,0.0,2614.0,2514.33,99.67
B37j,B,King's Pawn Opening,6,3.5,0.58,2333.83,2354.83,-21.0
B44p,B,King's Pawn Opening,13,9.0,0.69,2161.15,2349.77,-188.62
D16m,D,Queen's Pawn Opening,1,0,0.0,2498.0,2125.0,373.0
D31y,D,Queen's Pawn Opening,11,3,0.27,2259.36,2118.82,140.54
E97z,E,Queen's Pawn Opening,3,1.5,0.5,2120.0,2398.33,-278.33
A30j,A,Other,5,2.0,0.4,2191.4,2229.8,-38.4
E73n,E,Queen's Pawn Opening,5,0,0.0,1831.4,1763.6,67.8
E67l,E,Queen's Pawn Opening,2,1,0.5,2239.5,2063.5,176.0
D38c,D,Queen's Pawn Opening,2,0.5,0.25,2255.0,2373.0,-118.0
C60e,C,King's Pawn Opening,4,1.5,0.38,2315.25,2376.25,-61.0
E92w,E,Queen's Pawn Opening,17,7.5,0.44,2296.47,2292.06,4.41
B53i,B,King's Pawn Opening,4,4,1.0,2211.75,2417.0,-205.25
B96t,B,King's Pawn Opening,1,1,1.0,2425.0,1971.0,454.0
B66b,B,King's Pawn Opening,5,3,0.6,2115.0,2275.2,-160.2
E69j,E,Queen's Pawn Opening,12,5.0,0.42,2312.17,2483.0,-170.83
E63l,E,Queen's Pawn Opening,3,1.0,0.33,2218.67,2010.67,208.0
A44c,A,Queen's Pawn Opening,2,1.5,0.75,1880.5,2171.0,-290.5
E31g,E,Queen's Pawn Opening,2,0,0.0,2344.5,2397.0,-52.5
A65n,A,Queen's Pawn Opening,1,0,0.0,2432.0,2149.0,283.0
E31i,E,Queen's Pawn Opening,2,2,1.0,2237.0,2461.0,-224.0
C49r,C,King's Pawn Opening,2,1.5,0.75,2191.0,1188.5,1002.5
C07i,C,King's Pawn Opening,8,2.0,0.25,2102.62,2103.88,-1.26
C09g,C,King's Pawn Opening,1,1,1.0,2391.0,2378.0,13.0
B40l,B,King's Pawn Opening,23,9.5,0.41,2206.78,2226.04,-19.26
D33e,D,Queen's Pawn Opening,2,0.5,0.25,1822.5,1880.0,-57.5
B32a,B,King's Pawn Opening,10,3.0,0.3,1667.6,1863.1,-195.5
C98h,C,King's Pawn Opening,2,1,0.5,2315.0,2118.0,197.0
D39k,D,Queen's Pawn Opening,4,3.0,0.75,2403.0,2489.5,-86.5
E18j,E,Queen's Pawn Opening,5,2.5,0.5,2091.0,2115.8,-24.8
A39o,A,Other,9,1.0,0.11,2236.78,2126.22,110.56
B44l,B,King's Pawn Opening,2,1,0.5,2032.0,2298.5,-266.5
C09p,C,King's Pawn Opening,2,1,0.5,2071.0,2007.5,63.5
B67h,B,King's Pawn Opening,14,5,0.36,2226.14,2251.36,-25.22
E81r,E,Queen's Pawn Opening,11,4.5,0.41,1953.18,2068.36,-115.18
E80g,E,Queen's Pawn Opening,4,2.5,0.62,2219.0,2060.25,158.75
D01k,D,Queen's Pawn Opening,8,3.0,0.38,2081.38,1968.38,113.0
E84m,E,Queen's Pawn Opening,8,4.5,0.56,2080.0,1844.75,235.25
D15a,D,Queen's Pawn Opening,17,3.5,0.21,2067.0,1844.41,222.59
B29a,B,King's Pawn Opening,12,7.5,0.62,2262.83,2274.08,-11.25
E14z,E,Queen's Pawn Opening,23,11.5,0.5,2340.96,2296.61,44.35
B94a,B,King's Pawn Opening,8,3,0.38,2081.38,2185.75,-104.37
C89f,C,King's Pawn Opening,6,2.0,0.33,2168.83,2171.0,-2.17
D44l,D,Queen's Pawn Opening,4,2.5,0.62,2206.5,2245.5,-39.0
D76l,D,Queen's Pawn Opening,4,1.5,0.38,2265.25,2419.25,-154.0
C13j,C,King's Pawn Opening,1,1,1.0,2114.0,1951.0,163.0
B67q,B,King's Pawn Opening,7,2.5,0.36,2302.0,2335.0,-33.0
A44f,A,Queen's Pawn Opening,11,7.0,0.64,2146.91,2217.82,-70.91
C58h,C,King's Pawn Opening,1,0,0.0,2036.0,2321.0,-285.0
B81o,B,King's Pawn Opening,5,1.5,0.3,2042.6,2147.2,-104.6
D87m,D,Queen's Pawn Opening,6,3.5,0.58,2033.5,2127.67,-94.17
C80q,C,King's Pawn Opening,14,2.5,0.18,2232.57,2118.36,114.21
B56k,B,King's Pawn Opening,6,2.5,0.42,2231.67,2169.83,61.84
C87a,C,King's Pawn Opening,2,0,0.0,2139.0,2236.0,-97.0
B41e,B,King's Pawn Opening,6,4.5,0.75,2104.83,2254.17,-149.34
B37b,B,King's Pawn Opening,3,2.5,0.83,2348.0,2183.0,165.0
E00d,E,Queen's Pawn Opening,16,5.5,0.34,2260.88,2053.69,207.19
C91e,C,King's Pawn Opening,4,1.0,0.25,2194.75,2000.75,194.0
A39j,A,Other,6,1,0.17,2211.83,1887.33,324.5
B05a,B,King's Pawn Opening,11,3.0,0.27,2047.64,2056.36,-8.72
C97d,C,King's Pawn Opening,2,2,1.0,2231.0,2527.5,-296.5
C61e,C,King's Pawn Opening,5,3,0.6,2191.4,2184.8,6.6
E88f,E,Queen's Pawn Opening,4,3,0.75,2118.75,2291.25,-172.5
B38b,B,King's Pawn Opening,5,3,0.6,2148.0,2263.2,-115.2
D69,D,Queen's Pawn Opening,4,1.5,0.38,2111.0,2238.5,-127.5
E86f,E,Queen's Pawn Opening,2,0,0.0,2190.0,1628.0,562.0
C64g,C,King's Pawn Opening,12,3.5,0.29,2308.92,2194.17,114.75
A33h,A,Other,2,0.5,0.25,2447.0,2379.5,67.5
E73k,E,Queen's Pawn Opening,6,2.5,0.42,2202.0,2126.5,75.5
D41e,D,Queen's Pawn Opening,5,1.5,0.3,2253.2,2080.8,172.4
A65s,A,Queen's Pawn Opening,4,2,0.5,2223.5,2283.75,-60.25
D23g,D,Queen's Pawn Opening,5,4,0.8,2142.4,2286.0,-143.6
A65u,A,Queen's Pawn Opening,5,2.0,0.4,2263.2,2289.4,-26.2
B53m,B,King's Pawn Opening,3,0.5,0.17,2304.0,2251.33,52.67
E81c,E,Queen's Pawn Opening,6,0.5,0.08,2259.33,1923.67,335.66
C84l,C,King's Pawn Opening,1,0,0.0,2273.0,1889.0,384.0
B77b,B,King's Pawn Opening,2,1.5,0.75,2105.5,2135.5,-30.0
E05a,E,Queen's Pawn Opening,17,9.0,0.53,2345.12,2209.06,136.06
E17g,E,Queen's Pawn Opening,6,3.0,0.5,1846.83,1983.0,-136.17
A58c,A,Queen's Pawn Opening,5,2.0,0.4,2133.8,1602.6,531.2
E66n,E,Queen's Pawn Opening,7,2.0,0.29,2172.71,2103.29,69.42
D48o,D,Queen's Pawn Opening,4,1.0,0.25,2422.25,2209.0,213.25
C09d,C,King's Pawn Opening,5,0.5,0.1,2319.0,2249.0,70.0
B63f,B,King's Pawn Opening,2,1,0.5,2182.0,2345.0,-163.0
D10t,D,Queen's Pawn Opening,6,4,0.67,2043.17,2124.5,-81.33
C84o,C,King's Pawn Opening,11,4.5,0.41,2181.91,2223.36,-41.45
D20n,D,Queen's Pawn Opening,3,1,0.33,2112.33,2163.67,-51.34
C41n,C,King's Pawn Opening,8,4.0,0.5,2133.62,1913.5,220.12
A60d,A,Queen's Pawn Opening,4,2,0.5,2349.75,2303.5,46.25
D91k,D,Queen's Pawn Opening,3,2,0.67,2391.67,2317.0,74.67
C30d,C,King's Pawn Opening,1,0,0.0,2305.0,2066.0,239.0
C85r,C,King's Pawn Opening,5,4.0,0.8,2329.2,2483.0,-153.8
A44a,A,Queen's Pawn Opening,7,6.5,0.93,2195.0,2384.43,-189.43
B25t,B,King's Pawn Opening,14,6.0,0.43,2263.29,2324.36,-61.07
D07t,D,Queen's Pawn Opening,8,4,0.5,2094.5,1967.5,127.0
B78g,B,King's Pawn Opening,1,1,1.0,1837.0,2042.0,-205.0
C25r,C,King's Pawn Opening,3,1,0.33,1455.67,1942.33,-486.66
B93s,B,King's Pawn Opening,7,6,0.86,2146.14,2155.0,-8.86
B98q,B,King's Pawn Opening,3,0.5,0.17,2093.0,2071.67,21.33
E39l,E,Queen's Pawn Opening,14,5.5,0.39,2395.36,2322.0,73.36
B41i,B,King's Pawn Opening,6,2.5,0.42,2104.33,2229.0,-124.67
D29i,D,Queen's Pawn Opening,3,1.5,0.5,2294.33,2285.0,9.33
D52g,D,Queen's Pawn Opening,8,0.5,0.06,2294.25,1977.62,316.63
B49m,B,King's Pawn Opening,4,1,0.25,2220.25,2183.0,37.25
B92a,B,King's Pawn Opening,9,4.5,0.5,1850.22,1677.67,172.55
D49i,D,Queen's Pawn Opening,1,0,0.0,2707.0,2758.0,-51.0
D97o,D,Queen's Pawn Opening,6,4.0,0.67,2174.5,2143.5,31.0
D40c,D,Queen's Pawn Opening,3,1.5,0.5,2073.67,2283.33,-209.66
E76q,E,Queen's Pawn Opening,9,3,0.33,2284.67,2310.89,-26.22
E10q,E,Queen's Pawn Opening,11,6.0,0.55,2388.55,2340.36,48.19
B93t,B,King's Pawn Opening,2,0,0.0,2107.0,2135.5,-28.5
C19g,C,King's Pawn Opening,8,3.0,0.38,2224.88,2163.62,61.26
B67g,B,King's Pawn Opening,5,1,0.2,2243.2,2329.2,-86.0
B81r,B,King's Pawn Opening,1,0,0.0,2284.0,2179.0,105.0
D36v,D,Queen's Pawn Opening,5,2.0,0.4,2241.4,2154.8,86.6
C54a,C,King's Pawn Opening,7,3.5,0.5,1862.43,2083.43,-221.0
